Date, Count
5/8/2014,1
5/16/2014,17
5/17/2014,2
5/20/2014,5
5/21/2014,7
5/22/2014,13
5/23/2014,12
5/24/2014,1
5/25/2014,2
5/26/2014,1
5/27/2014,1
5/28/2014,3
5/29/2014,14
5/30/2014,9
6/2/2014,4
6/3/2014,11
6/4/2014,16
6/5/2014,14
6/6/2014,4
6/7/2014,1
6/9/2014,10
6/10/2014,3
6/11/2014,1
6/12/2014,7
6/18/2014,3
6/20/2014,4
6/23/2014,8
6/24/2014,9
6/25/2014,8
6/26/2014,6
6/27/2014,23
6/28/2014,1
6/30/2014,1
7/1/2014,50
7/2/2014,68
7/3/2014,13
7/4/2014,1
7/5/2014,1
7/7/2014,1
7/8/2014,9
7/9/2014,5
7/10/2014,6
7/11/2014,3
7/14/2014,3
7/15/2014,11
7/16/2014,9
7/17/2014,46
7/18/2014,20
7/19/2014,2
7/22/2014,25
7/23/2014,24
7/24/2014,4
7/25/2014,8
7/26/2014,2
7/28/2014,1
7/29/2014,8
7/30/2014,4
7/31/2014,3
8/1/2014,5
8/2/2014,2
8/3/2014,1
8/4/2014,1
8/6/2014,8
8/7/2014,8
8/8/2014,6
8/9/2014,3
8/10/2014,1
8/11/2014,2
8/12/2014,13
8/13/2014,11
8/14/2014,24
8/15/2014,17
8/18/2014,9
8/19/2014,6
8/20/2014,9
8/21/2014,12
8/22/2014,6
8/26/2014,6
8/27/2014,21
8/28/2014,13
8/29/2014,2
8/31/2014,1
9/2/2014,8
9/4/2014,1
9/5/2014,9
9/6/2014,1
9/8/2014,7
9/9/2014,16
9/10/2014,5
9/11/2014,8
9/12/2014,21
9/17/2014,1
9/18/2014,4
9/19/2014,10
9/20/2014,1
9/22/2014,6
9/23/2014,9
9/24/2014,14
9/25/2014,9
9/26/2014,2
9/27/2014,3
